EXER;IDENT;NDEPT;LBUDG;INSEE;CBUDG;CTYPE;CSTYP;NOMEN;siren;CREGI;CACTI;SECTEUR;FINESS;CODBUD1;CATEG;BAL;FONCTION;COMPTE;BEDEB;BECRE;OBNETDEB;OBNETCRE;ONBDEB;ONBCRE;OOBDEB;OOBCRE;SD;SC
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;447;0,00;5886,66;0,00;0,00;54196,17;48309,51;0,00;0,00;0,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;466;0,00;0,00;0,00;0,00;27930,00;27930,00;0,00;0,00;0,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;46711;0,00;1069,49;0,00;0,00;13503,13;14195,40;0,00;0,00;0,00;1761,76
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;46721;0,00;0,00;0,00;0,00;4962,13;4739,44;0,00;0,00;222,69;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;46726;0,00;0,00;0,00;0,00;272,88;0,00;0,00;0,00;272,88;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;47138;0,00;0,00;0,00;0,00;1455572,58;1496273,27;0,00;0,00;0,00;40700,69
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;471412;0,00;0,00;0,00;0,00;27930,00;27930,00;0,00;0,00;0,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;4718;0,00;0,00;0,00;0,00;11359,00;11359,00;0,00;0,00;0,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;4728;0,00;0,00;0,00;0,00;11359,00;11359,00;0,00;0,00;0,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;515;275696,11;0,00;0,00;0,00;1507632,27;1531229,74;0,00;0,00;252098,64;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;580;0,00;0,00;0,00;0,00;18788,58;18788,58;0,00;0,00;0,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;01;28051;0,00;0,00;0,00;6797,53;0,00;0,00;0,00;6797,53;0,00;6797,53
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;01;28181;0,00;0,00;0,00;4361,77;0,00;0,00;0,00;4361,77;0,00;4361,77
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;01;281838;0,00;0,00;0,00;2929,76;0,00;0,00;0,00;2929,76;0,00;2929,76
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;01;281848;0,00;0,00;0,00;3627,54;0,00;0,00;0,00;3627,54;0,00;3627,54
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;01;28185;0,00;0,00;0,00;261,97;0,00;0,00;0,00;261,97;0,00;261,97
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;01;28188;0,00;0,00;0,00;810,01;0,00;0,00;0,00;810,01;0,00;810,01
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;21838;0,00;0,00;4782,06;0,00;0,00;0,00;0,00;0,00;4782,06;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;21848;0,00;0,00;673,82;0,00;0,00;0,00;0,00;0,00;673,82;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;60622;0,00;0,00;2209,35;0,00;0,00;0,00;0,00;0,00;2209,35;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;60628;0,00;0,00;1615,40;0,00;0,00;0,00;0,00;0,00;1615,40;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;60632;0,00;0,00;376,99;0,00;0,00;0,00;0,00;0,00;376,99;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6064;0,00;0,00;40094,64;0,00;0,00;0,00;0,00;0,00;40094,64;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6068;0,00;0,00;571,34;0,00;0,00;0,00;0,00;0,00;571,34;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;611;0,00;0,00;17753,94;0,00;0,00;0,00;0,00;0,00;17753,94;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6135;0,00;0,00;14661,42;0,00;0,00;0,00;0,00;0,00;14661,42;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;61551;0,00;0,00;1205,66;0,00;0,00;0,00;0,00;0,00;1205,66;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6161;0,00;0,00;4849,01;0,00;0,00;0,00;0,00;0,00;4849,01;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6182;0,00;0,00;589,40;0,00;0,00;0,00;0,00;0,00;589,40;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6183;0,00;0,00;653,00;0,00;0,00;0,00;0,00;0,00;653,00;0,00
